galaxy,radius,mu,kill,error
NGC3838,0.65,13.393,1,0.001
NGC3838,0.72,13.417,1,0.001
NGC3838,0.79,13.443,1,0.002
NGC3838,0.87,13.476,1,0.002
NGC3838,0.96,13.514,1,0.002
NGC3838,1.05,13.564,1,0.001
NGC3838,1.16,13.619,1,0.002
NGC3838,1.27,13.681,1,0.002
NGC3838,1.40,13.758,1,0.002
NGC3838,1.54,13.849,1,0.002
NGC3838,1.69,13.934,1,0.002
NGC3838,1.86,14.032,1,0.002
NGC3838,2.05,14.138,1,0.003
NGC3838,2.25,14.262,1,0.004
NGC3838,2.48,14.400,1,0.005
NGC3838,2.73,14.560,1,0.006
NGC3838,3.00,14.718,1,0.005
NGC3838,3.30,14.879,1,0.005
NGC3838,3.63,15.025,1,0.006
NGC3838,3.99,15.184,1,0.006
NGC3838,4.39,15.357,1,0.005
NGC3838,4.83,15.521,1,0.006
NGC3838,5.31,15.689,1,0.005
NGC3838,5.85,15.843,1,0.005
NGC3838,6.43,15.983,1,0.005
NGC3838,7.07,16.098,1,0.006
NGC3838,7.78,16.212,1,0.006
NGC3838,8.56,16.316,1,0.007
NGC3838,9.42,16.421,1,0.007
NGC3838,10.36,16.531,1,0.007
NGC3838,11.39,16.649,1,0.006
NGC3838,12.53,16.679,1,0.008
NGC3838,13.78,16.769,1,0.014
NGC3838,15.16,16.960,1,0.017
NGC3838,16.68,17.180,1,0.014
NGC3838,18.35,17.426,1,0.010
NGC3838,20.18,17.672,1,0.011
NGC3838,22.20,18.005,1,0.010
NGC3838,24.42,18.383,1,0.009
NGC3838,26.86,18.720,1,0.010
NGC3838,29.55,19.140,1,0.012
NGC3838,32.50,19.571,1,0.018
NGC3838,35.75,20.044,1,0.026
NGC3838,39.33,20.467,1,0.039
NGC3838,43.26,20.921,1,0.057
NGC3838,47.59,21.136,1,0.070
NGC3838,52.35,21.539,1,0.099
NGC3838,57.58,21.938,1,0.139
NGC3838,63.34,22.215,1,0.176
NGC3838,69.68,22.650,1,0.253
NGC3838,76.64,22.896,1,0.309
NGC3838,84.31,23.259,1,0.411
NGC3838,92.74,23.297,1,0.421
NGC3838,102.01,23.740,1,0.584
NGC3838,112.21,24.144,1,0.771
NGC3838,123.43,24.332,1,0.871
NGC3838,135.78,24.656,1,1.058
NGC3838,149.36,24.708,1,1.092
NGC3838,164.29,24.670,1,1.070
NGC6798,1.50,15.705,1,0.001
NGC6798,1.65,15.715,1,0.001
NGC6798,1.81,15.727,1,0.001
NGC6798,1.99,15.742,1,0.001
NGC6798,2.19,15.758,1,0.001
NGC6798,2.41,15.779,1,0.001
NGC6798,2.65,15.802,1,0.001
NGC6798,2.92,15.831,1,0.001
NGC6798,3.21,15.865,1,0.001
NGC6798,3.53,15.907,1,0.001
NGC6798,3.88,15.954,1,0.001
NGC6798,4.27,16.011,1,0.001
NGC6798,4.70,16.078,1,0.001
NGC6798,5.17,16.157,1,0.001
NGC6798,5.68,16.245,1,0.001
NGC6798,6.25,16.346,1,0.001
NGC6798,6.88,16.460,1,0.001
NGC6798,7.56,16.584,1,0.001
NGC6798,8.32,16.720,1,0.001
NGC6798,9.15,16.861,1,0.001
NGC6798,10.07,17.011,1,0.002
NGC6798,11.07,17.161,1,0.002
NGC6798,12.18,17.316,1,0.003
NGC6798,13.40,17.469,1,0.003
NGC6798,14.74,17.626,1,0.003
NGC6798,16.21,17.786,1,0.004
NGC6798,17.83,17.958,1,0.004
NGC6798,19.62,18.144,1,0.004
NGC6798,21.58,18.348,1,0.004
NGC6798,23.73,18.565,1,0.004
NGC6798,26.11,18.783,1,0.004
NGC6798,28.72,18.976,1,0.008
NGC6798,31.59,19.190,1,0.007
NGC6798,34.75,19.384,1,0.009
NGC6798,38.22,19.599,1,0.011
NGC6798,42.05,19.841,1,0.013
NGC6798,46.25,20.155,1,0.016
NGC6798,50.88,20.557,1,0.022
NGC6798,55.96,20.886,1,0.031
NGC6798,61.56,21.246,1,0.042
NGC6798,67.72,21.481,1,0.053
NGC6798,74.49,21.797,1,0.070
NGC6798,81.94,22.267,1,0.105
NGC6798,90.13,22.692,1,0.153
NGC6798,99.14,23.128,1,0.227
NGC6798,109.06,23.680,1,0.349
NGC6798,119.96,24.022,1,0.454
NGC6798,131.96,25.352,0,1.096
NGC6798,145.16,25.467,0,1.183
NGC6798,159.67,26.188,0,1.726
NGC6798,175.64,26.070,0,1.628
NGC3998,0.65,11.932,1,0.002
NGC3998,0.72,11.959,1,0.002
NGC3998,0.79,11.993,1,0.002
NGC3998,0.87,12.031,1,0.003
NGC3998,0.96,12.079,1,0.005
NGC3998,1.05,12.124,1,0.006
NGC3998,1.16,12.186,1,0.008
NGC3998,1.27,12.271,1,0.007
NGC3998,1.40,12.363,1,0.008
NGC3998,1.54,12.442,1,0.009
NGC3998,1.69,12.537,1,0.009
NGC3998,1.86,12.666,1,0.007
NGC3998,2.05,12.790,1,0.007
NGC3998,2.25,12.922,1,0.009
NGC3998,2.48,13.050,1,0.011
NGC3998,2.73,13.190,1,0.011
NGC3998,3.00,13.335,1,0.010
NGC3998,3.30,13.483,1,0.008
NGC3998,3.63,13.639,1,0.008
NGC3998,3.99,13.795,1,0.006
NGC3998,4.39,13.931,1,0.005
NGC3998,4.83,14.096,1,0.005
NGC3998,5.31,14.245,1,0.004
NGC3998,5.85,14.404,1,0.004
NGC3998,6.43,14.568,1,0.005
NGC3998,7.07,14.716,1,0.004
NGC3998,7.78,14.899,1,0.004
NGC3998,8.56,15.100,1,0.003
NGC3998,9.42,15.321,1,0.003
NGC3998,10.36,15.534,1,0.003
NGC3998,11.39,15.755,1,0.003
NGC3998,12.53,15.974,1,0.003
NGC3998,13.78,16.186,1,0.003
NGC3998,15.16,16.402,1,0.003
NGC3998,16.68,16.617,1,0.003
NGC3998,18.35,16.818,1,0.002
NGC3998,20.18,17.012,1,0.003
NGC3998,22.20,17.185,1,0.003
NGC3998,24.42,17.341,1,0.003
NGC3998,26.86,17.472,1,0.003
NGC3998,29.55,17.582,1,0.003
NGC3998,32.50,17.696,1,0.003
NGC3998,35.75,17.855,1,0.004
NGC3998,39.33,18.041,1,0.004
NGC3998,43.26,18.290,1,0.005
NGC3998,47.59,18.570,1,0.006
NGC3998,52.35,18.859,1,0.008
NGC3998,57.58,19.164,1,0.010
NGC3998,63.34,19.493,1,0.014
NGC3998,69.68,19.820,1,0.018
NGC3998,76.64,20.189,1,0.026
NGC3998,84.31,20.602,1,0.037
NGC3998,92.74,21.007,1,0.054
NGC3998,102.01,21.496,1,0.082
NGC3998,112.21,21.916,1,0.119
NGC3998,123.43,22.321,1,0.168
NGC3998,135.78,22.819,1,0.256
NGC3998,149.36,23.465,1,0.425
NGC3998,164.29,23.795,0,0.544
NGC3998,180.72,26.301,0,2.198
NGC3998,240.54,24.051,0,0.650
NGC4203,0.65,12.374,1,0.002
NGC4203,0.72,12.392,1,0.003
NGC4203,0.79,12.417,1,0.003
NGC4203,0.87,12.448,1,0.003
NGC4203,0.96,12.487,1,0.003
NGC4203,1.05,12.538,1,0.005
NGC4203,1.16,12.611,1,0.007
NGC4203,1.27,12.702,1,0.007
NGC4203,1.40,12.826,1,0.009
NGC4203,1.54,12.934,1,0.012
NGC4203,1.69,13.077,1,0.010
NGC4203,1.86,13.192,1,0.008
NGC4203,2.05,13.292,1,0.012
NGC4203,2.25,13.390,1,0.012
NGC4203,2.48,13.511,1,0.011
NGC4203,2.73,13.665,1,0.009
NGC4203,3.00,13.843,1,0.009
NGC4203,3.30,13.988,1,0.008
NGC4203,3.63,14.084,1,0.007
NGC4203,3.99,14.240,1,0.007
NGC4203,4.39,14.414,1,0.006
NGC4203,4.83,14.561,1,0.004
NGC4203,5.31,14.719,1,0.005
NGC4203,5.85,14.907,1,0.004
NGC4203,6.43,15.050,1,0.004
NGC4203,7.07,15.213,1,0.004
NGC4203,7.78,15.361,1,0.003
NGC4203,8.56,15.498,1,0.004
NGC4203,9.42,15.649,1,0.004
NGC4203,10.36,15.772,1,0.004
NGC4203,11.39,15.922,1,0.003
NGC4203,12.53,16.073,1,0.004
NGC4203,13.78,16.257,1,0.003
NGC4203,15.16,16.469,1,0.003
NGC4203,16.68,16.699,1,0.003
NGC4203,18.35,16.936,1,0.004
NGC4203,20.18,17.150,1,0.004
NGC4203,22.20,17.363,1,0.005
NGC4203,24.42,17.565,1,0.006
NGC4203,26.86,17.741,1,0.007
NGC4203,29.55,17.897,1,0.008
NGC4203,32.50,18.036,1,0.009
NGC4203,35.75,18.168,1,0.010
NGC4203,39.33,18.295,1,0.012
NGC4203,43.26,18.433,1,0.013
NGC4203,47.59,18.584,1,0.015
NGC4203,52.35,18.707,1,0.017
NGC4203,57.58,18.851,1,0.019
NGC4203,63.34,19.088,1,0.024
NGC4203,69.68,19.350,1,0.030
NGC4203,76.64,19.652,1,0.040
NGC4203,84.31,20.081,1,0.058
NGC4203,92.74,20.517,1,0.086
NGC4203,102.01,20.984,1,0.129
NGC4203,112.21,21.518,1,0.203
NGC4203,123.43,21.979,1,0.297
NGC4203,135.78,22.464,1,0.435
NGC4203,149.36,23.009,1,0.646
NGC4203,164.29,23.316,1,0.797
NGC4203,180.72,23.619,1,0.963
NGC3626,0.65,12.572,1,0.002
NGC3626,0.72,12.606,1,0.002
NGC3626,0.79,12.640,1,0.002
NGC3626,0.87,12.679,1,0.002
NGC3626,0.96,12.719,1,0.003
NGC3626,1.05,12.763,1,0.003
NGC3626,1.16,12.819,1,0.003
NGC3626,1.27,12.890,1,0.003
NGC3626,1.40,12.967,1,0.003
NGC3626,1.54,13.045,1,0.004
NGC3626,1.69,13.157,1,0.003
NGC3626,1.86,13.284,1,0.004
NGC3626,2.05,13.421,1,0.005
NGC3626,2.25,13.545,1,0.006
NGC3626,2.48,13.699,1,0.007
NGC3626,2.73,13.856,1,0.008
NGC3626,3.00,14.010,1,0.009
NGC3626,3.30,14.216,1,0.009
NGC3626,3.63,14.397,1,0.007
